StationName,StationID,year,month,day,hour,tau,PMf
基隆,EPA001,2019,4,18,23,96,17.69730000
汐止,EPA002,2019,4,18,23,96,24.08190000
萬里,EPA003,2019,4,18,23,96,17.71530000
新店,EPA004,2019,4,18,23,96,27.23220000
土城,EPA005,2019,4,18,23,96,29.00180000
板橋,EPA006,2019,4,18,23,96,47.20240000
新莊,EPA007,2019,4,18,23,96,52.12220000
菜寮,EPA008,2019,4,18,23,96,45.82550000
林口,EPA009,2019,4,18,23,96,25.64160000
淡水,EPA010,2019,4,18,23,96,24.43360000
士林,EPA011,2019,4,18,23,96,18.84080000
中山,EPA012,2019,4,18,23,96,18.14770000
萬華,EPA013,2019,4,18,23,96,19.90940000
古亭,EPA014,2019,4,18,23,96,21.86030000
松山,EPA015,2019,4,18,23,96,20.38680000
大同,EPA016,2019,4,18,23,96,20.51290000
桃園,EPA017,2019,4,18,23,96,38.12160000
大園,EPA018,2019,4,18,23,96,23.57040000
觀音,EPA019,2019,4,18,23,96,18.93240000
平鎮,EPA020,2019,4,18,23,96,38.41880000
龍潭,EPA021,2019,4,18,23,96,39.45960000
湖口,EPA022,2019,4,18,23,96,26.77140000
竹東,EPA023,2019,4,18,23,96,23.69380000
新竹,EPA024,2019,4,18,23,96,29.59120000
頭份,EPA025,2019,4,18,23,96,50.07430000
苗栗,EPA026,2019,4,18,23,96,37.73220000
三義,EPA027,2019,4,18,23,96,19.58150000
豐原,EPA028,2019,4,18,23,96,23.46570000
沙鹿,EPA029,2019,4,18,23,96,21.80690000
大里,EPA030,2019,4,18,23,96,20.32730000
忠明,EPA031,2019,4,18,23,96,22.59080000
西屯,EPA032,2019,4,18,23,96,26.21040000
彰化,EPA033,2019,4,18,23,96,21.68600000
線西,EPA034,2019,4,18,23,96,22.26380000
二林,EPA035,2019,4,18,23,96,22.83390000
南投,EPA036,2019,4,18,23,96,19.38170000
斗六,EPA037,2019,4,18,23,96,13.63740000
崙背,EPA038,2019,4,18,23,96,10.91630000
新港,EPA039,2019,4,18,23,96,16.48700000
朴子,EPA040,2019,4,18,23,96,17.70130000
臺西,EPA041,2019,4,18,23,96,6.46186000
嘉義,EPA042,2019,4,18,23,96,11.28510000
新營,EPA043,2019,4,18,23,96,14.42930000
善化,EPA044,2019,4,18,23,96,26.27400000
安南,EPA045,2019,4,18,23,96,25.64660000
臺南,EPA046,2019,4,18,23,96,25.75830000
美濃,EPA047,2019,4,18,23,96,10.00780000
橋頭,EPA048,2019,4,18,23,96,18.28030000
仁武,EPA049,2019,4,18,23,96,20.50020000
鳳山,EPA050,2019,4,18,23,96,22.05860000
大寮,EPA051,2019,4,18,23,96,33.41950000
林園,EPA052,2019,4,18,23,96,33.81600000
楠梓,EPA053,2019,4,18,23,96,24.96010000
左營,EPA054,2019,4,18,23,96,14.01140000
前金,EPA056,2019,4,18,23,96,25.29740000
前鎮,EPA057,2019,4,18,23,96,46.13710000
小港,EPA058,2019,4,18,23,96,64.08820000
屏東,EPA059,2019,4,18,23,96,16.55350000
潮州,EPA060,2019,4,18,23,96,22.83640000
恆春,EPA061,2019,4,18,23,96,16.56430000
臺東,EPA062,2019,4,18,23,96,17.84350000
花蓮,EPA063,2019,4,18,23,96,23.25670000
陽明,EPA064,2019,4,18,23,96,17.34120000
宜蘭,EPA065,2019,4,18,23,96,18.09840000
冬山,EPA066,2019,4,18,23,96,18.88440000
三重,EPA067,2019,4,18,23,96,24.38740000
中壢,EPA068,2019,4,18,23,96,48.09870000
竹山,EPA069,2019,4,18,23,96,15.57110000
永和,EPA070,2019,4,18,23,96,24.41890000
復興,EPA071,2019,4,18,23,96,41.19970000
埔里,EPA072,2019,4,18,23,96,17.64600000
關山,EPA080,2019,4,18,23,96,16.42140000
金門,EPA101,2019,4,18,23,96,NULL
馬祖,EPA102,2019,4,18,23,96,NULL
阿里山,EPA103,2019,4,18,23,96,16.31440000
麥寮,EPA110,2019,4,18,23,96,16.34100000
基隆,EPA001,2019,4,18,22,95,18.01420000
汐止,EPA002,2019,4,18,22,95,25.02670000
萬里,EPA003,2019,4,18,22,95,18.08290000
新店,EPA004,2019,4,18,22,95,31.77290000
土城,EPA005,2019,4,18,22,95,38.93190000
板橋,EPA006,2019,4,18,22,95,34.94980000
新莊,EPA007,2019,4,18,22,95,56.73380000
菜寮,EPA008,2019,4,18,22,95,31.65090000
林口,EPA009,2019,4,18,22,95,32.18940000
淡水,EPA010,2019,4,18,22,95,22.28790000
士林,EPA011,2019,4,18,22,95,20.44300000
中山,EPA012,2019,4,18,22,95,19.26730000
萬華,EPA013,2019,4,18,22,95,21.13570000
古亭,EPA014,2019,4,18,22,95,22.37060000
松山,EPA015,2019,4,18,22,95,22.34020000
大同,EPA016,2019,4,18,22,95,21.11350000
桃園,EPA017,2019,4,18,22,95,34.67560000
大園,EPA018,2019,4,18,22,95,27.57960000
觀音,EPA019,2019,4,18,22,95,18.82130000
平鎮,EPA020,2019,4,18,22,95,37.36300000
龍潭,EPA021,2019,4,18,22,95,44.10690000
湖口,EPA022,2019,4,18,22,95,30.35670000
竹東,EPA023,2019,4,18,22,95,18.27590000
新竹,EPA024,2019,4,18,22,95,28.20600000
頭份,EPA025,2019,4,18,22,95,43.03080000
苗栗,EPA026,2019,4,18,22,95,36.39680000
三義,EPA027,2019,4,18,22,95,19.66940000
豐原,EPA028,2019,4,18,22,95,21.37840000
沙鹿,EPA029,2019,4,18,22,95,22.14590000
大里,EPA030,2019,4,18,22,95,22.43050000
忠明,EPA031,2019,4,18,22,95,24.13840000
西屯,EPA032,2019,4,18,22,95,29.10010000
彰化,EPA033,2019,4,18,22,95,23.49480000
線西,EPA034,2019,4,18,22,95,22.60090000
二林,EPA035,2019,4,18,22,95,22.85820000
南投,EPA036,2019,4,18,22,95,20.37850000
斗六,EPA037,2019,4,18,22,95,11.16310000
崙背,EPA038,2019,4,18,22,95,11.56060000
新港,EPA039,2019,4,18,22,95,14.38790000
朴子,EPA040,2019,4,18,22,95,17.06110000
臺西,EPA041,2019,4,18,22,95,6.30599000
嘉義,EPA042,2019,4,18,22,95,11.16760000
新營,EPA043,2019,4,18,22,95,13.35630000
善化,EPA044,2019,4,18,22,95,22.57240000
安南,EPA045,2019,4,18,22,95,23.22530000
臺南,EPA046,2019,4,18,22,95,24.50430000
美濃,EPA047,2019,4,18,22,95,8.55663000
橋頭,EPA048,2019,4,18,22,95,19.38730000
仁武,EPA049,2019,4,18,22,95,22.61920000
鳳山,EPA050,2019,4,18,22,95,29.95050000
大寮,EPA051,2019,4,18,22,95,26.64530000
林園,EPA052,2019,4,18,22,95,40.38890000
楠梓,EPA053,2019,4,18,22,95,25.81780000
左營,EPA054,2019,4,18,22,95,13.54920000
前金,EPA056,2019,4,18,22,95,27.12870000
前鎮,EPA057,2019,4,18,22,95,35.98170000
小港,EPA058,2019,4,18,22,95,67.25070000
屏東,EPA059,2019,4,18,22,95,13.16230000
潮州,EPA060,2019,4,18,22,95,23.03210000
恆春,EPA061,2019,4,18,22,95,16.38710000
臺東,EPA062,2019,4,18,22,95,17.17770000
花蓮,EPA063,2019,4,18,22,95,21.71460000
陽明,EPA064,2019,4,18,22,95,17.29640000
宜蘭,EPA065,2019,4,18,22,95,19.22380000
冬山,EPA066,2019,4,18,22,95,18.76360000
三重,EPA067,2019,4,18,22,95,24.15850000
中壢,EPA068,2019,4,18,22,95,41.18040000
竹山,EPA069,2019,4,18,22,95,22.75550000
永和,EPA070,2019,4,18,22,95,23.58610000
復興,EPA071,2019,4,18,22,95,41.13030000
埔里,EPA072,2019,4,18,22,95,17.64670000
關山,EPA080,2019,4,18,22,95,16.52920000
金門,EPA101,2019,4,18,22,95,NULL
馬祖,EPA102,2019,4,18,22,95,NULL
阿里山,EPA103,2019,4,18,22,95,16.30760000
麥寮,EPA110,2019,4,18,22,95,16.46940000
基隆,EPA001,2019,4,18,21,94,18.13890000
汐止,EPA002,2019,4,18,21,94,24.59060000
萬里,EPA003,2019,4,18,21,94,19.36880000
新店,EPA004,2019,4,18,21,94,31.22960000
土城,EPA005,2019,4,18,21,94,88.37110000
板橋,EPA006,2019,4,18,21,94,42.09920000
新莊,EPA007,2019,4,18,21,94,30.10210000
菜寮,EPA008,2019,4,18,21,94,28.51970000
林口,EPA009,2019,4,18,21,94,21.98180000
淡水,EPA010,2019,4,18,21,94,21.74900000
士林,EPA011,2019,4,18,21,94,20.37180000
